27,KAKAMEGA,ELWESORO HEALTH CENTRE,KAKAMEGA COUNTY,
28,KAKAMEGA,EMUHAYA SUB-DISTRICT HOSPITAL,KAKAMEGA COUNTY,
29,KAKAMEGA,ENZARO HEALTH CENTRE,KAKAMEGA COUNTY,
30,KAKAMEGA,GIVUDIMBULI HEALTH CENTRE,KAKAMEGA COUNTY,
31,KAKAMEGA,HAMISI SUB-DISTRICT HOSPITAL,KAKAMEGA COUNTY,
32,KAKAMEGA,IGUHU DISTRICT HOSPITAL,KAKAMEGA COUNTY,
33,KAKAMEGA,ILEHO HEALTH CENTRE,KAKAMEGA COUNTY,
34,KAKAMEGA,IMBIAKALO HEALTH CENTRE,KAKAMEGA COUNTY,
35,KAKAMEGA,IPALI HEALTH CENTRE,KAKAMEGA COUNTY,
36,KAKAMEGA,KAMBIRI HEALTH CENTRE,KAKAMEGA COUNTY,
37,KAKAMEGA,KEGONDI HEALTH CENTRE,KAKAMEGA COUNTY,
38,KAKAMEGA,KILIGILI HEALTH CENTRE,KAKAMEGA COUNTY,
39,KAKAMEGA,LUGARI DISTRICT HOSPITAL,KAKAMEGA COUNTY,
40,KAKAMEGA,LUMAKANDA DISTRICT HOSPITAL-LUGARI,KAKAMEGA COUNTY,
41,KAKAMEGA,MABUSI HEALTH CENTRE,KAKAMEGA COUNTY,
42,KAKAMEGA,MAKUNGA RURAL DEMONSTRATION,KAKAMEGA COUNTY,
43,KAKAMEGA,MALAVA DISTRICT HOSPITAL,KAKAMEGA COUNTY,
44,KAKAMEGA,MATETE HEALTH CENTRE,KAKAMEGA COUNTY,
45,KAKAMEGA,MATUNDA SUB-DISTRICT HOSPITAL,KAKAMEGA COUNTY,
46,KAKAMEGA,MATURU DISPENSARY,KAKAMEGA COUNTY,
47,KAKAMEGA,MAUTUMA SUB-DISTRICT HOSPITAL,KAKAMEGA COUNTY,
48,KAKAMEGA,MBALE PROVINCIAL RURAL HEALTH CENTRE,KAKAMEGA COUNTY,
49,KAKAMEGA,NABONGO DISPENSARY,KAKAMEGA COUNTY,
50,KAKAMEGA,NAVAKHOLO SUB DISTRICT HOSPITAL,KAKAMEGA COUNTY,
51,KAKAMEGA,PROVINCIAL GENERAL HOSPITAL KAKAMEGA,KAKAMEGA COUNTY,
52,KAKAMEGA,SEREM HEALTH CENTRE,KAKAMEGA COUNTY,
53,KAKAMEGA,SHAMAKHOHO HEALTH CENTRE,KAKAMEGA COUNTY,
54,KAKAMEGA,SHIBWE SUB-DISTRICT HOSPITAL,KAKAMEGA COUNTY,
